image,text
data/raw/Newspaper/6658.png,لبریشن لیگ واحد جماعت ہے جس نے اصول کی سیاست
data/raw/Newspaper/6659.png,کی ہے، مقبوضہ کشمیر میں ہونے والے مظالم کو دنیا
data/raw/Newspaper/8816.png,حد سے بڑھیں تو پاکستان میں پہلی مرتبہ 1953ء میں
data/raw/Newspaper/8817.png,قادیانیت کے خلاف تحریک چلی، علماء اہلسنّت نے مسئلہ ختم
data/raw/Newspaper/8818.png,نبوت اور فتنہ قادیانیت کو طشت ازبام کیا جبکہ دوسری
data/raw/Newspaper/8819.png,دفعہ 1974ء میں قادیانیت کے خلاف تحریک چلی اور کامیابی
data/raw/Newspaper/8820.png,سے ہمکنار ہوئی، انہوں نے کہا کہ غیر مسلم اقلیت
data/raw/Newspaper/10000.png,ڈالر کی قدر میں اضافہ ہوگیا تاہم یورپین ممالک کی
data/raw/Newspaper/10001.png,اہم کرنسیوں بشمول یورو اور برطانوی پاؤنڈ کی قدر میں
data/raw/Newspaper/10002.png,کمی ریکارڈ کی گئی۔ منگل کو امریکی ڈالر کی قیمت
data/raw/Newspaper/10003.png,فروخت اور قیمت خرید میں بالترتیب 21 پیسے اور 20
data/raw/Newspaper/10004.png,پیسے کی تیزی رہی، تاہم یورو کی قیمت فروخت میں
data/raw/Newspaper/10005.png,50 پیسے اور قیمت خرید میں 49 پیسے کی کمی
data/raw/Newspaper/10006.png,ریکارڈ کی گئی۔ اسی طرح برطانوی پاؤنڈ کی قدر میں
data/raw/Newspaper/10007.png,بھی 45 پیسے کی مندی رہی۔ نیشنل بینک آف پاکستان
data/raw/Newspaper/10008.png,سے جاری کردہ اعداد و شمار کے مطابق امریکی ڈالر
data/raw/Newspaper/10009.png,اپنی گزشتہ کاروباری روز کی قیمت فروخت 88.17 روپے سے
data/raw/Sign boards/Screenshot 2026-07-21 185327.png,ارمان
data/raw/Sign boards/WhatsApp Image 2026-07-21 at 18.56.04.jpeg,سرٹیفکیٹ کے حصول کے لیے درخواست
data/raw/Sign boards/WhatsApp Image 2026-07-21 at 18.56.14.jpeg,وہاں ریاض مسلسل سے کام چلتا ہے، یہاں گلے کے سہارے کلام چلتا ہے
data/raw/Sign boards/WhatsApp Image 2026-07-21 at 18.56.40.jpeg,کرکٹ کے کھیل کا موازنہ مشاعرے کے ساتھ کیا گیا ہے
data/raw/Sign boards/WhatsApp Image 2026-07-21 at 18.57.07.jpeg,کرکٹ اور مشاعرہ (نظم) از دلاور فگار
data/raw/Sign boards/WhatsApp Image 2026-07-21 at 18.58.13.jpeg,شیطان آپ کو ہر وقت غمگین کیوں کرتا ہے
data/raw/Sign boards/WhatsApp Image 2026-07-21 at 18.58.25.jpeg,تیسرے حرف کے مطابق: اگر تیسرے حرف پر فتحہ یا کسرہ ہو تو ہمزہ وصلی کو کسرہ دیں گے
data/raw/Sign boards/WhatsApp Image 2026-07-21 at 18.58.37.jpeg,تیسرے حرف کے مطابق: اگر تیسرے حرف پر ضمہ ہو تو ہمزہ وصلی کو ضمہ دیں گے
data/raw/Sign boards/WhatsApp Image 2026-07-21 at 19.00.40.jpeg,میں سالار سکندر سے بات کرنا چاہتی ہوں، آپ امامہ ہاشم ہیں؟
data/raw/Sign boards/WhatsApp Image 2026-07-21 at 19.01.02.jpeg,جو مری ہے وہ میری بیوی تھی اور مجھے بہت پیاری تھی
data/raw/Sign boards/WhatsApp Image 2026-07-21 at 19.01.14.jpeg,اعمال کے نتائج ہوتے ہیں اور وہ بھگتنے بھی پڑتے ہیں
data/raw/Sign boards/ء_998.png,ء
data/raw/Sign boards/ء_999.png,ء
data/raw/Sign boards/ا_973.png,ا
data/raw/Sign boards/ا_974.png,ا
data/raw/Sign boards/آ_993.png,آ
data/raw/Sign boards/آ_994.png,آ
data/raw/Sign boards/ب_996.png,ب
data/raw/Sign boards/ب_997.png,ب
data/raw/Sign boards/پ_94.png,پ
data/raw/Books/ۃ_96.png,ۃ
data/raw/Books/ۃ_97.png,ۃ
data/raw/Books/ت_95.png,ت
data/raw/Books/ت_96.png,ت
data/raw/Books/ٹ_98.png,ٹ
data/raw/Books/ٹ_99.png,ٹ
data/raw/Books/ث_983.png,ث
data/raw/Books/ث_984.png,ث
data/raw/Books/ج_97.png,ج
data/raw/Books/ج_98.png,ج
data/raw/Books/چ_95.png,چ
data/raw/Books/چ_96.png,چ
data/raw/Books/ح_970.png,ح
data/raw/Books/ح_971.png,ح
data/raw/Books/خ_949.png,خ
data/raw/Books/خ_950.png,خ
data/raw/Books/د_95.png,د
data/raw/Books/د_96.png,د
data/raw/Books/ڈ_95.png,ڈ
data/raw/Books/ڈ_96.png,ڈ
data/raw/Books/ذ_98.png,ذ
data/raw/Books/ذ_99.png,ذ
data/raw/Books/ر_980.png,ر
data/raw/Books/ر_981.png,ر
data/raw/Books/ڑ_93.png,ڑ
data/raw/Books/ڑ_94.png,ڑ
data/raw/Books/ز_99.png,ز
data/raw/Books/ز_970.png,ز
data/raw/Books/ژ_98.png,ژ
data/raw/Books/ژ_99.png,ژ
data/raw/Books/س_97.png,س
data/raw/Books/س_98.png,س
data/raw/Books/ش_983.png,ش
data/raw/Books/ش_984.png,ش
data/raw/Books/ص_98.png,ص
data/raw/Books/ص_99.png,ص
data/raw/Books/ض_979.png,ض
data/raw/Books/ض_980.png,ض
data/raw/Books/ط_973.png,ط
data/raw/Books/ط_974.png,ط
data/raw/Other/ظ_99.png,ظ
data/raw/Other/ظ_987.png,ظ
data/raw/Other/ع_99.png,ع
data/raw/Other/ع_990.png,ع
data/raw/Other/غ_99.png,غ
data/raw/Other/غ_984.png,غ
data/raw/Other/ف_993.png,ف
data/raw/Other/ف_994.png,ف
data/raw/Other/ق_992.png,ق
data/raw/Other/ق_993.png,ق
data/raw/Other/ک_0.png,ک
data/raw/Other/ک_1.png,ک
data/raw/Other/گ_0.png,گ
data/raw/Other/گ_1.png,گ
data/raw/Other/ل_983.png,ل
data/raw/Other/ل_984.png,ل
data/raw/Other/م_95.png,م
data/raw/Other/م_96.png,م
data/raw/Other/م_97.png,م
data/raw/Other/م_98.png,م
data/raw/Other/ن_96.png,ن
data/raw/Other/ن_97.png,ن
data/raw/Other/ھ_0.png,ھ
data/raw/Other/ھ_1.png,ھ
data/raw/Other/ہ_96.png,ہ
data/raw/Other/ہ_97.png,ہ
data/raw/Other/و_0.png,و
data/raw/Other/و_1.png,و
data/raw/Other/ے_51.png,ے
data/raw/Other/ے_52.png,ے
data/raw/Other/ی_99.png,ی
data/raw/Other/ی_983.png,ی
